tipo,texto
spam,Gana un crucero gratis respondiendo a esta sencilla encuesta de 3 preguntas.
spam,¿Quieres dejar de fumar en un día? Nuestro parche milagroso es la solución.
spam,Tu celular está siendo rastreado. Usa nuestra VPN para proteger tu privacidad.
spam,El precio del oro se disparará. ¡Invierte ahora en nuestro esquema piramidal!
spam,Tienes 3 mensajes de voz no leídos. Escúchalos haciendo clic en el link.
spam,PROMOCIÓN EXCLUSIVA: 7 días de acceso ilimitado a nuestro gimnasio por $1.
spam,¡Un extraño te ha enviado dinero! Confirma la recepción en este sitio.
spam,Tu cuenta de Netflix está bloqueada por falta de pago. Actualiza tu método de pago.
spam,Hemos aprobado un aumento de límite de crédito para ti. Responde con tus datos.
spam,Advertencia legal: Has infringido derechos de autor. Paga la multa para evitar el juicio.
spam,Consigue una hipoteca al 1% de interés. ¡Solicita información ya!
spam,Eres el ganador de un viaje todo pagado a París. Solo paga los impuestos de reserva.
spam,"¿Necesitas un software ilegal? Descárgalo aquí, 100% libre de virus (mentira)."
spam,Último aviso: Tu dominio web expira mañana. Renueva al triple del precio.
spam,¿Te sientes deprimido? Prueba nuestras píldoras de la felicidad. Resultados en 1 hora.
spam,Gana dinero rellenando encuestas desde casa. Pagan $100 por cada encuesta.
spam,¡Sorpresa! Hemos depositado $20 en tu cuenta PayPal. Inicia sesión para verlo.
spam,¡Tu smartphone es obsoleto! Compra nuestro nuevo modelo con 70% de descuento.
spam,Descuento solo para ti: 50% menos en nuestra tienda de joyería. Código: SUPERGANGA.
spam,Su paquete no pudo ser entregado porque no pagó el seguro de envío. Pague aquí.
spam,Eres elegible para recibir compensación por un accidente que nunca tuviste. Llama ahora.
spam,¿Te has preguntado cómo los ricos se hacen más ricos? Únete a nuestro seminario web.
spam,Vende tu casa en 24 horas. ¡Compramos al contado y sin inspecciones!
spam,¡No dejes que el gobierno te quite tu dinero! Invierte en oro.
ham,"¿Recogiste la ropa de la tintorería? Si no, yo lo hago después del trabajo."
ham,El código de restablecimiento de tu contraseña es: 778123. Válido por 10 minutos.
ham,"El médico dice que solo es un resfriado, nada grave. Estaré de vuelta el lunes."
ham,¿Puedes enviar las diapositivas de la presentación final del cliente antes del mediodía?
ham,Tienes un mensaje de voz nuevo de mamá. Dice que te llamó para saludarte.
ham,La escuela cerrará mañana debido a las fuertes nevadas. Aviso oficial adjunto.
ham,"No olvides sacar la basura esta noche, el camión pasa temprano mañana."
ham,AVISO: El mantenimiento del sistema se realizará de 2 AM a 4 AM del sábado.
ham,¡Mira este video divertido que encontré en YouTube! [link a video de gatos].
ham,¿Qué te pareció el último capítulo de la serie? Tenemos que hablar de ese final.
ham,"Hola, soy Lucía de Recursos Humanos. Confirma tu hora de entrevista."
ham,El autobús está retrasado unos 20 minutos. Te aviso cuando esté llegando.
ham,"Recibiste un depósito de nómina de $$$1,800.00 en tu cuenta."
ham,La biblioteca ha enviado un recordatorio: tienes dos libros vencidos.
ham,¡Feliz Aniversario! Te reservé en el restaurante italiano que tanto te gusta.
ham,Adjunto la cotización de los materiales de construcción que solicitaste.
ham,¿Vamos a la playa este fin de semana? Revisa el pronóstico del tiempo.
ham,"Por favor, usa la clave de acceso temporal: 5A9F2E. Cámbiala inmediatamente."
ham,El concierto estuvo increíble anoche. ¡La mejor banda en vivo!
ham,Mañana a las 9 AM es la reunión con el equipo de marketing. No llegues tarde.
ham,Se ha completado la transferencia de $$$50 a tu amigo. Comprobante ID: XY234.
ham,¿Tienes tiempo para un café rápido en 15 minutos? Estoy cerca de tu oficina.
ham,El plazo para la entrega del informe final se ha extendido hasta el miércoles.
ham,El paquete que esperabas de ropa llegará el viernes entre 10 AM y 2 PM.
ham,No sé cómo hacer esa receta. ¿Me podrías mandar los pasos por mensaje?
ham,"Te llamo más tarde, estoy en medio de una presentación importante ahora."
ham,Tu orden de compra N.º 1234 ha sido procesada y está lista para envío.
ham,Mi coche se averió en la carretera. ¿Puedes venir a recogerme en 30 minutos?
ham,Te mando por e-mail el enlace para acceder al webinar de mañana.
ham,¿A qué hora cierra el supermercado hoy? Necesito comprar algo urgente.
ham,La reunión del consejo escolar se pospuso hasta la próxima semana.
ham,La puerta de la cochera no cierra bien. Avísale al técnico por favor.
ham,Tienes 50 puntos de recompensa nuevos en tu tarjeta de fidelidad.
ham,Me encontré a Juan y le dije que te enviara el archivo.
ham,El examen de historia es la próxima semana. ¿Estudiaste ya?
ham,"Por favor, asegúrate de guardar una copia de seguridad de los archivos antes de actualizar."
ham,El perro se comió mis zapatos favoritos. ¡Qué desastre!
ham,La receta requiere 200 gramos de harina. ¿Tenemos suficiente en casa?
ham,El servicio de agua será interrumpido en tu zona por 4 horas el jueves.
ham,¿Llevo el postre a la cena? Avísame si necesitas algo más.
spam,"¡INCREÍBLE OFERTA! Rolex original por solo $89.99, solo hoy en stock limitado"
spam,"Tu INE fue encontrada en la calle. Verifica que seas tú en este enlace urgente"
spam,"Banorte detectó cargos no reconocidos por $48,500. Confirma aquí para cancelarlos"
spam,"Gana $800 dólares por hora rellenando encuestas desde tu celular. Registro gratis"
spam,"Tu cuenta de Mercado Libre fue suspendida. Reactívala en menos de 2 minutos aquí"
spam,"Pastillas para bajar de peso aprobadas por la FDA. -15 kg en 14 días garantizado"
spam,"Hola preciosa, eres la mujer más hermosa que he visto. ¿Me das tu WhatsApp?"
spam,"Telmex: Tu línea será cortada mañana por falta de pago. Paga aquí con tarjeta"
spam,"Tarjeta de regalo Starbucks $500 totalmente gratis. Solo quedan 7 disponibles"
spam,"Invierte $500 hoy y recibe $5,000 en 48 horas. Sistema automático 100% seguro"
spam,"Tu celular está siendo monitoreado. Descarga esta app para eliminar el spyware"
spam,"Has ganado un boleto para el concierto de Bad Bunny VIP. Reclama ya"
spam,"Cruz Roja necesita tu donativo urgente de $200 para niños con cáncer"
spam,"Hola soy Ana, nos conocimos en Tinder ¿te acuerdas de mí? Mira mis fotos nuevas"
spam,"CFE: Tu medidor presenta falla. Agenda cita técnica o te cortaremos el servicio"
spam,"Duplica tu saldo Movistar al recargar hoy. Oferta solo por este enlace"
spam,"Tu paquete de Shein está detenido en aduana México. Paga $150 de impuestos aquí"
spam,"Bitcoin subió 300%, invierte ahora y recupera todo lo perdido en días"
spam,"Fotos comprometedoras tuyas están circulando. Paga para eliminarlas"
spam,"Oferta relámpago: iPhone 15 Pro Max por $499 pesos mexicanos. Solo 5 unidades"
spam,"Tu cuenta de Instagram será eliminada en 3 horas por violar normas comunitarias"
spam,"Gana dinero viendo videos de YouTube. Ya pagamos a más de 50,000 mexicanos"
spam,"Préstamo inmediato $30,000 sin revisar buró. Dinero en tu cuenta en 10 minutos"
spam,"Hola, soy el soporte técnico de Microsoft. Tu PC tiene virus críticos"
spam,"Tu número ganó $1,000,000 en el sorteo de Telcel. Ingresa aquí para cobrar"
spam,"Crema antiarrugas que usan las famosas. Resultados en 3 días o te devolvemos todo"
spam,"Tu vuelo Volaris fue cancelado. Reembolsamos $8,500 a tu tarjeta aquí"
spam,"Amazon Prime: Tu membresía gratis de 1 año está por expirar. Renueva ahora"
spam,"Hola, tengo información importante sobre tu esposo. Contáctame en privado"
spam,"Vacuna tu PC gratis contra ransomware. Descarga el antivirus oficial aquí"
spam,"Tu perfil de Facebook fue hackeado. Cambia tu contraseña en este enlace"
spam,"Gana un departamento en Cancún contestando 3 preguntas fáciles"
spam,"Seguro de gastos médicos mayores desde $99 al mes. Cobertura total inmediata"
spam,"Tu tarjeta Liverpool fue clonada. Bloquéala aquí antes de que vacíen tu cuenta"
spam,"Hola bebita, estás sola? Te envío fotos mías si me mandas las tuyas primero"
spam,"Recibe $10,000 pesos semanales por manejar con publicidad en tu auto"
spam,"Tu cuenta Coppel fue bloqueada por compras sospechosas en línea"
spam,"Curso para hacerte millonario en dropshipping. Acceso de por vida por $499"
spam,"Tu WhatsApp será bloqueado permanentemente si no actualizas a la versión nueva"
spam,"¡Última hora! Vacantes de trabajo en Amazon desde casa pagando $400/hr"
ham,"Ya estoy en la terminal, ¿en qué puerta te recojo?"
ham,"Te mandé el archivo por WeTransfer, avísame cuando lo descargues"
ham,"¿Puedes cuidar al perro el viernes? Te pago lo de siempre"
ham,"Acabo de salir del dentista, todo salió bien, gracias por preguntar"
ham,"¿Viste el golazo de ayer? Increíble el partido"
ham,"Te dejé la comida en el refri, solo caliéntala 3 minutos"
ham,"Mañana es el cumpleaños de Luis, ¿vamos a comprar el regalo juntos?"
ham,"Ya imprimí los boletos del cine, nos toca sala 5 a las 8:30"
ham,"¿Me ayudas a elegir entre estas dos camisas para la entrevista?"
ham,"El mecánico dijo que solo es cambio de aceite, nada grave"
ham,"Te paso el número de la doctora, es muy buena y atiende sábados"
ham,"¿Trajiste el termo? Se me olvidó el mío y hace mucho calor"
ham,"Ya quedó lista la inscripción al curso de inglés, gracias por el apoyo"
ham,"Avísame cuando llegues a casa para quedarme tranquilo"
ham,"El profe canceló la clase de hoy, ¡día libre!"
ham,"¿Vas a la comida del domingo en casa de tu tía?"
ham,"Te envío la foto del modelo de vestido que te comenté"
ham,"Ya pagué mi parte de la cuenta de Netflix, gracias por adelantarla"
ham,"¿Me prestas tu taladro mañana? Solo lo ocupo unas horas"
ham,"Llegué al gimnasio, te guardo lugar en la clase de las 7"
ham,"¿Qué opinas si pintamos la sala de gris claro?"
ham,"El bebé ya gatea por todos lados, no lo puedo alcanzar jajaja"
ham,"Te comparto el link de la receta del salmón que tanto te gusta"
ham,"¿Nos vemos en el Oxxo de la esquina a las 4?"
ham,"Ya quedó el pastel, te mando foto cuando le ponga las velas"
ham,"Gracias por recogerme ayer, no sabes cuánto me ayudaste"
ham,"¿Traes efectivo? La tienda no acepta tarjeta hoy"
ham,"El tráfico está imposible, voy a tardar unos 20 minutos más"
ham,"Te dejé las pastillas para la alergia en la mesa de la cocina"
ham,"¿Ya leíste el libro que te presté? Quiero saber qué te pareció"
ham,"Nos tocó grupo con Ana y Marco para el proyecto, menos mal"
ham,"Avísame si necesitas que pase por la farmacia de regreso"
ham,"El clima dice que va a llover, lleva paraguas"
ham,"Ya compré los ingredientes para hacer lasagna el sábado"
ham,"Te mando captura de la conversación con el cliente"
ham,"¿Puedes revisar el ensayo? Solo quiero una segunda opinión"
ham,"La reunión se movió a las 3 pm en lugar de las 2"
ham,"Acabo de vacunar a los niños, todo salió perfecto"
ham,"¿Te late ver la nueva de Marvel el fin de semana que entra?"
ham,"Ya quedó la cita con el oculista para el martes a las 11"
spam,"¡GANE $300 DIARIOS! Trabaje desde su celular. Registrese gratis: gananciasrapidas.com/ingresos"
ham,"Hola Carlos, ¿llegarás a tiempo para la cena familiar de esta noche?"
spam,"SU TARJETA DE CRÉDITO HA SIDO BLOQUEADA. Llame inmediatamente al 1-800-555-0199"
ham,"Tu cita con el veterinario para Max está confirmada para el viernes a las 4:30 PM"
spam,"¡OFERTA RELÁMPAGO! MacBook Pro 2024 por $299. Solo 5 unidades: techmania.shop/mac"
ham,"¿Podrías comprar leche y pan de camino a casa? Se nos acabó"
spam,"HERENCIA MILLONARIA: Un desconocido te dejó $2,500,000. Contacte al notario: 555-6789"
ham,"Recordatorio: La presentación del proyecto es mañana a las 10 AM en la sala de conferencias"
spam,"¡PERDER PESO RÁPIDO! Quema 10kg en 7 días con este secreto: dietaprohibida.net"
ham,"Tu pedido de libros ha sido enviado. Número de seguimiento: LB284756319"
spam,"¡ALERTA DE SEGURIDAD! Su cuenta de Facebook fue hackeada. Verifique: fb-security.xyz"
ham,"Feliz aniversario de bodas! Los esperamos para cenar el sábado"
spam,"¡PRÉSTAMOS EN 5 MINUTOS! Sin aval, sin buro. Hasta $50,000: creditosultrarapidos.mx"
ham,"Tu examen médico anual está programado para el próximo martes a las 9:15 AM"
spam,"¡GANADOR OFICIAL! Su número 5487 ganó $50,000. Reclame: premiosnacionales.org"
ham,"¿Vas a ir al partido de fútbol del domingo? Tengo dos entradas extra"
spam,"¡TRABAJO FÁCIL! Gane $100 por encuesta. Solo 2 horas diarias: encuestasrentables.com"
ham,"Tu suscripción a Spotify se renovará automáticamente el próximo viernes"
spam,"¡URGENTE! Su servicio de agua será suspendido en 24 horas. Pague: aguamunicipal.pay"
ham,"La reunión de la asociación de padres será el jueves a las 6 PM en la biblioteca"
spam,"¡INVERSIÓN SEGURA! Doble su dinero en 15 días. Mínimo $1,000: inversionmillonaria.biz"
ham,"Tu reserva para el spa está confirmada para el sábado a las 2 PM. Llega 10 min antes"
spam,"¡OFERTA EXCLUSIVA! PlayStation 5 + 10 juegos por $199. Solo hoy: gamersparadise.shop"
ham,"Mamá, ¿me puedes prestar el auto esta noche? Tengo una cita"
spam,"¡ALERTA MÉDICA! Su seguro está por vencer. Renueve ahora: segurosalud24.net"
ham,"Tu entrega de Amazon llegará hoy entre 2 PM y 4 PM"
spam,"¡GANE UN IPHONE 15! Conteste esta pregunta: ¿Cuál es la capital de Francia? Envíe al 5555"
ham,"Recordatorio: El pago de la colegiatura vence el próximo lunes"
spam,"¡CRIPTOMONEDAS EXPLOSIVAS! Ethereum subirá 500% mañana. Compre: cryptoboom.cash"
ham,"Tu clase de piano ha sido reprogramada para el miércoles a las 5 PM"
spam,"¡SERVICIO TÉCNICO OFICIAL! Su computadora tiene virus. Descargue: pc-repair.tech"
ham,"Confirmamos tu reserva en el vuelo MX245 a Cancún para el 15 de diciembre"
spam,"¡TRABAJO DESDE CASA! Empaque productos y gane $200 diarios. Inscripción gratis"
ham,"Tu análisis de colesterol salió dentro de los parámetros normales"
spam,"¡OFERTA DE CELULAR! Plan ilimitado por $10 mensuales. Solo nuevos clientes: telcel-ofertas.net"
ham,"La cena de negocios está confirmada para el martes a las 8 PM en el restaurante La Terraza"
spam,"¡URGENTE! Su licencia de conducir expira mañana. Renueve: dmv-express.services"
ham,"Tu pedido de pizza familiar con extra queso está en camino. Llega en 20 min"
spam,"¡GANE $5,000 SEMANALES! Sea misterioso comprador. Sin experiencia: mystery-shopper.jobs"
ham,"Tu sesión de fisioterapia está programada para el jueves a las 11 AM"
spam,"¡ALERTA BANCARIA! Actividad sospechosa detectada. Verifique: banco-security.secure"
ham,"Tu libro reservado en la biblioteca ya está disponible para recoger"
spam,"¡INVERSIÓN INMOBILIARIA! Retornos del 400% en 6 meses. Info: propiedadeselite.invest"
ham,"Tu corte de cabello está confirmado para el viernes a las 3 PM con Antonio"
spam,"¡OFERTA DE TRABAJO! Modelos webcam ganan $200 por hora. Registro: webcam-studio.hire"
ham,"Tu donación al refugio de animales ha sido procesada. Recibirás un recibo"
spam,"¡SU ORDEN DE AMAZON NO PUDO ENTREGARSE! Actualice dirección: amazon-delivery.update"
ham,"Tu cita con el abogado está programada para el próximo lunes a las 10 AM"
spam,"¡GANE UN AUTO DE LUJO! BMW Serie 7 en sorteo exclusivo. Participe: autosdeensueño.win"
ham,"Recordatorio: Tu medicamento para la presión debe tomarse diariamente"
spam,"¡SERVICIO DE STREAMING SUSPENDIDO! Actualice sus datos: netflix-premium.account"
ham,"Tu reserva para el campo de golf está confirmada para el sábado a las 7:30 AM"
spam,"¡PRÉSTAMO EXPRESS! $10,000 en 10 minutos. Solo mayores de edad: prestamoya.money"
ham,"Tu taller de fotografía comienza este sábado a las 9 AM en el centro cultural"
spam,"¡ALERTA FISCAL! Tiene multas pendientes. Pague ahora: sat-mexico.payments"
ham,"Tu pedido de flores será entregado hoy antes de las 6 PM"
spam,"¡TRABAJO INTERNACIONAL! Gane en dólares desde México. Registro: trabajoglobal.hire"
ham,"Tu sesión de terapia de pareja está confirmada para el miércoles a las 4 PM"
spam,"¡OFERTA ÚNICA! TV 85\" 8K por $499. Solo 3 disponibles: electrodomesticos-baratos.shop"
ham,"Tu examen de manejo está programado para el próximo viernes a las 2 PM"
spam,"¡GANE PREMIOS INSTANTÁNEOS! Responda ¿Cuánto es 2+2? al 12345 y gane"
ham,"Tu membresía al gimnasio ha sido renovada exitosamente por 6 meses más"
spam,"¡URGENTE! Su servicio de gas será cortado. Pague: gasnatural-payments.online"
ham,"Tu cita con el nutricionista está confirmada para el jueves a las 10:30 AM"
spam,"¡INVERSIÓN EN ORO! Precios suben 300% este mes. Compre: oroinversion.seguro"
ham,"Tu reserva para el restaurante italiano está confirmada para 4 personas el viernes"
spam,"¡ALERTA MIGRATORIA! Su pasaporte necesita verificación. Actualice: migracion-mexico.verify"
ham,"Tu clase de yoga al aire libre se pospone por lluvia. Nueva fecha: próximo sábado"
spam,"¡TRABAJO PARA ESTUDIANTES! Gane $150 diarios. Horarios flexibles: empleoestudiantil.jobs"
ham,"Tu pedido de supermercado será entregado entre 3 PM y 5 PM de hoy"
spam,"¡GANE UN VIAJE A PARÍS! 2 personas todo incluido. Participe: viajesgratis.travel"
ham,"Tu consulta con el dermatólogo está programada para el próximo mes. Te llamaremos"
spam,"¡OFERTA DE SEGURO! Seguro de auto por $50 mensuales. Cotice: segurosbaratos.insure"
ham,"Tu sesión de masajes relajantes está confirmada para el martes a las 5 PM"
spam,"¡URGENTE! Su dominio web está por expirar. Renueve: dominios-mexico.renew"
ham,"Tu taller de cocina mediterránea comienza el próximo lunes a las 6 PM"
spam,"¡PRÉSTAMO PARA NEGOCIOS! Hasta $500,000. Aprobación inmediata: business-loans.funding"
ham,"Tu cita para la limpieza dental está programada para el 15 de noviembre a las 11 AM"
spam,"¡GANE $1,000 DIARIOS! Invierta en criptomonedas. Retornos garantizados: crypto-invest.pro"
ham,"Tu reserva para el concierto del sábado está confirmada. Entradas electrónicas enviadas"
spam,"¡ALERTA DE SOFTWARE! Su Windows necesita actualización crítica. Descargue: windows-update.security"
ham,"Tu pedido de medicamentos recetados está listo para recoger en la farmacia"
spam,"¡TRABAJO PARA AMAS DE CASA! Gane $100 diarios. Horarios flexibles: trabajohogar.income"
ham,"Tu cita para la vacuna de la influenza está programada para el próximo viernes"
spam,"Aprovecha la promoción del día: gana un cupón de $200 registrándote aquí."
spam,"Tu suscripción gratuita está lista, solo faltan tus datos para activarla."
spam,"¡Eres el afortunado ganador de un televisor inteligente! Reclámalo antes de que expire."
spam,"Activa este código y recibe recompensas ilimitadas en tu cuenta."
spam,"Gana dinero extra siguiendo este simple truco financiero."
spam,"Tu banco ofrece un crédito exclusivo, aplica con un clic."
spam,"Invierte ahora y obtén el doble de retorno sin riesgo."
spam,"Tu dispositivo tiene demasiados archivos basura; limpia todo con esta aplicación."
spam,"Recibe asesoría financiera gratuita solo completando este formulario."
spam,"Haz clic aquí para obtener una tarjeta prepago cargada con $50."
spam,"Tu correo fue seleccionado para recibir acceso premium sin coste."
spam,"Gana puntos canjeables en efectivo descargando esta herramienta."
spam,"Elimina todos los virus de tu móvil con este software avanzado."
spam,"No pierdas tu oportunidad de viajar gratis este verano."
spam,"Tu historial de compras te da derecho a un reembolso, verifica aquí."
spam,"Descubre cómo miles están ganando ingresos pasivos con este programa."
spam,"Mejora tu crédito en solo 24 horas con esta plataforma."
spam,"Revisa la actividad sospechosa en tu cuenta antes de que sea tarde."
spam,"Haz clic aquí para recibir alertas personalizadas de inversión."
spam,"Las ganancias de tu portafolio están listas para retirarse."
spam,"Tu pago quedó pendiente; complétalo para evitar bloqueos."
spam,"Adquiere productos exclusivos con un 80% de descuento."
spam,"Tu acceso al contenido premium fue autorizado, ingresa ahora."
spam,"Consulta si calificas para recibir un subsidio especial."
spam,"Optimiza tu teléfono con esta herramienta aprobada por expertos."
spam,"Tu comprobante digital está listo, descárgalo desde este enlace."
spam,"La transacción fue rechazada; vuelve a intentarlo aquí."
spam,"Recibe beneficios increíbles con este programa secreto de membresías."
spam,"Tu cuenta será deshabilitada hoy; confirma aquí para evitarlo."
spam,"Activa tus recompensas diarias antes de que expiren."
spam,"Este curso exclusivo solo está disponible para usuarios invitados."
spam,"Consigue préstamos urgentes sin requisitos estrictos."
spam,"Haz crecer tus ahorros con nuestra inversión automática."
spam,"Tu seguridad está en riesgo; verifica tu identidad ahora."
spam,"Accede a recetas médicas sin cita con este servicio online."
spam,"Tu orden fue seleccionada para envío gratis, reclama la oferta."
spam,"Descubre el suplemento que está revolucionando el bienestar."
spam,"Tu monedero digital tiene saldo acumulado; transfórmalo aquí."
spam,"Aprovecha esta oferta secreta disponible solo para miembros."
spam,"Descarga gratis el nuevo antivirus premium por tiempo limitado."
spam,"Regístrate para obtener beneficios exclusivos en compras."
spam,"Tu tarjeta virtual caducará pronto; reactívala ahora."
spam,"Gana recompensas solo por revisar tus notificaciones."
spam,"Este método te permitirá duplicar tus ingresos desde casa."
spam,"Tu paquete fue retenido en aduanas; paga la tarifa mínima aquí."
spam,"Completa tu información para activar el modo seguro de tu cuenta."
spam,"Encuentra vuelos ultra baratos usando esta herramienta oculta."
spam,"Tu correo está casi lleno; amplía tu almacenamiento gratis."
spam,"Recibe información privilegiada del mercado financiero al instante."
ham,"Ya confirmé la hora de nuestra reunión para mañana."
ham,"Ayer terminé el informe, te lo envío más tarde."
ham,"¿Quieres que compre algo para la cena?"
ham,"Estoy revisando los pendientes de la semana."
ham,"La clase fue cancelada por falta de luz."
ham,"¿A qué hora quieres que pase por ti el sábado?"
ham,"Dejé los documentos en tu escritorio."
ham,"Hoy salí temprano del trabajo, ¿nos vemos en un rato?"
ham,"Te aviso cuando llegue al edificio."
ham,"El concierto estuvo increíble, deberías ir la próxima vez."
ham,"Puse tu chaqueta en el armario."
ham,"¿Tienes tiempo de revisar este texto?"
ham,"Voy a preparar café, ¿quieres uno?"
ham,"El paquete que esperabas llegó esta mañana."
ham,"El entrenador movió la práctica para las 5 pm."
ham,"Terminé de organizar el archivo, ya está en la carpeta."
ham,"¿Puedes recordarme llamar al médico mañana?"
ham,"La computadora ya está funcionando mejor después de la actualización."
ham,"Hoy quiero salir a caminar, el clima está perfecto."
ham,"Tu botella quedó en mi coche, te la llevo luego."
ham,"Ya hice las reservas para el almuerzo del viernes."
ham,"¿Te gustaría acompañarme al supermercado?"
ham,"La reunión se alargó un poco, llegaré más tarde."
ham,"Terminé el curso online, estuvo bastante bueno."
ham,"El perro está inquieto, creo que quiere salir."
ham,"¿Puedes revisar si la puerta quedó bien cerrada?"
ham,"Estoy preparando la presentación final del proyecto."
ham,"Tu correo llegó con los archivos correctos."
ham,"Estoy leyendo un libro nuevo que creo que te gustaría."
ham,"Hoy me quedaré en casa ordenando un poco."
ham,"La tienda tenía descuentos buenos, compré varias cosas."
ham,"¿Te aviso cuando esté listo para salir?"
ham,"Tu amigo llamó preguntando por ti."
ham,"Necesito comprar tinta para la impresora."
ham,"¿Quieres comer fuera o prefieres pedir algo?"
ham,"Completé el formulario del seguro hace un rato."
ham,"El autobús viene con retraso hoy."
ham,"Los vecinos organizarán una reunión este fin de semana."
ham,"Actualicé la lista de tareas del proyecto."
ham,"¿Quieres que lleve algo para compartir mañana?"
ham,"El restaurante que recomendaste estaba muy bueno."
ham,"Voy a limpiar la cocina, quedó un desastre."
ham,"Ya terminé la edición del video."
ham,"¿Podemos revisar las cifras esta tarde?"
ham,"La película que vimos ayer estuvo divertida."
ham,"Hoy trabajaré desde la cafetería."
ham,"Guardé las herramientas en el gabinete."
ham,"¿Tienes tiempo mañana para una llamada breve?"
ham,"La planta que me regalaste está creciendo bastante."
ham,"Voy a imprimir los documentos en un rato."
ham,"¿Te parece bien si movemos la reunión a la mañana?"
spam,Tu puntaje de crédito es muy bajo. Podemos arreglarlo rápidamente. ¡Llama al 555-400-000!
spam,Última hora: Un famoso acaba de morir y te ha mencionado en su testamento. Haz clic para más detalles.
spam,¡Despierta el genio que llevas dentro! Curso de memorización por solo $9.99.
spam,Hemos detectado un malware crítico. Descargue la herramienta de limpieza para protegerse.
spam,¡No te pierdas el concierto del siglo! Compra entradas al 80% de descuento.
spam,"Venta forzada de joyas de oro incautadas. Precios de remate, liquidación total."
spam,Se requieren donaciones para un orfanato falso en un país lejano. Envía dinero.
spam,¿Necesita un título de doctorado sin estudiar? Ofrecemos diplomas falsificados garantizados.
spam,Un hacker robó tu información. Paga el rescate o la publicaremos.
spam,Gana dinero probando juguetes eróticos. Trabaja desde casa y sé tu propio jefe.
spam,Tu cuenta de correo ha sido comprometida. Introduce tu contraseña antigua y la nueva aquí.
spam,¡El mejor software espía! Monitorea celulares discretamente. Compra ahora.
spam,"ALERTA: Tienes una deuda de $2,500 con una agencia de cobros. Paga de inmediato."
spam,Las farmacias no quieren que sepas sobre esta cura milagrosa para el cáncer.
spam,"Gana una cena romántica para dos, solo tienes que rellenar este formulario."
spam,La NASA descubrió un secreto que cambiará la vida. Revelación exclusiva al hacer clic.
spam,¡Increíble! Hemos encontrado 10 billetes de $100 en tu buzón virtual. Reclámalos.
spam,¡Atención dueños de mascotas! Seguro de vida para animales por solo $1 al mes.
spam,"Hemos cancelado su orden de compra por $$$999. Si no la solicitó, haga clic para revertir."
spam,¡Aprende a programar en 5 minutos! El curso más rápido y efectivo del mundo.
spam,"Vende tu alma y consigue riqueza infinita. Servicio garantizado, discreción total."
spam,Se requiere una actualización de seguridad para su teléfono Android. Descargue el parche.
spam,¡El reloj Rolex que siempre quisiste! Cómpralo por $50 en esta tienda.
spam,Tu perfil de LinkedIn ha sido visto 100 veces. Revisa quién te vio aquí.
spam,Te has suscrito a nuestro servicio de horóscopo premium. El cargo es de $5 diarios.
spam,El clima espacial podría destruir la red eléctrica. Compra generadores de emergencia.
spam,"Te amo. Dime si me amas también. Por favor, responde para que pueda conocerte."
spam,RECLAMA TU REGALO: Tenemos un smartphone gratis para ti. Solo paga el envío de $19.99.
spam,¿No tienes seguro de salud? Tenemos planes que cubren todo por $10.
spam,"Tu número ha sido seleccionado para una donación caritativa de $$$100,000."
spam,ÚLTIMA ADVERTENCIA: El software pirata en tu PC está siendo rastreado.
spam,Deja de pagar altas tarifas de electricidad. Instala nuestro dispositivo de ahorro.
spam,¿Quieres más músculo? El suplemento secreto que usan los culturistas profesionales.
spam,Tenemos tu historial médico y lo enviaremos a tu jefe si no pagas.
spam,"¿Tienes un proyecto? Podemos financiarlo con $500,000. Envíanos tu propuesta."
spam,¡Solo para mayores de 60! Píldoras que te hacen sentir de 20.
spam,Tienes una notificación push no leída en nuestro sitio de juegos de azar.
spam,¡Compra 2 y lleva 3 en toda nuestra ropa de marca falsa!
spam,Tu correo está lleno. Haz clic aquí para aumentar el espacio de almacenamiento.
spam,¡Increíble oferta de vacaciones! 7 noches en Hawái por $299. ¡Reserva ahora!
spam,¿Te sientes solo? Chatea con nuestros bots que simulan ser personas reales.
spam,Tienes una transferencia pendiente de un familiar en el extranjero. Confirma tus datos.
spam,¡No dejes pasar esta oportunidad! Invierte en terrenos lunares y sé pionero.
spam,Su cuenta de Amazon Prime ha sido cancelada. Verifique los detalles de pago.
spam,La tienda de mascotas está regalando cachorros. Solo tienes que llenar la solicitud.
spam,¡Vuelve a crecer tu cabello en 2 días! Fórmulas secretas y garantizadas.
spam,Te enviamos un cheque de $50 por ser un cliente fiel. Clica aquí para imprimirlo.
spam,"¿Problemas con tu esposa? Consigue una amante secreta hoy, discreción garantizada."
spam,Tu número de teléfono ha ganado un sorteo. Llama inmediatamente para recibir el premio.
spam,ADVERTENCIA FINAL DE ELIMINACIÓN: Todos tus archivos se borrarán mañana si no verificas.
ham,El vuelo 6345 se retrasó 45 minutos. La nueva hora de salida es a las 8:30 AM.
ham,¿Me puedes prestar tu taladro el sábado? Te lo devuelvo el domingo sin falta.
ham,"El proyecto del puente de ingeniería requiere una reunión urgente. 10:00 AM, sala B."
ham,Olvidé mi cartera en tu casa anoche. ¿Me la guardas hasta el lunes?
ham,Tienes una nueva solicitud de amistad en la red de la universidad.
ham,El reporte de calidad del agua potable indica que es apta para el consumo.
ham,Mi receta de pastel de chocolate pide 3 huevos grandes. ¿Qué marca usas?
ham,El periodo de inscripción para el gimnasio finaliza el 30 de este mes.
